Layer,Target_Class,Target_Method,Patch_Type,Smali_File,Description,Version,Status
L1,com.facebook.webview.FBWebViewClient,shouldOverrideUrlLoading,HOOK_REPLACE,L1_AdBlockEngine.smali,Intercept all URL loads and check against ad pattern list,v8.0,ACTIVE
L1,com.facebook.webview.FBWebViewClient,shouldInterceptRequest,HOOK_REPLACE,L1_AdBlockEngine.smali,Block ad network resource requests at WebViewClient level,v8.0,ACTIVE
L2,com.facebook.webview.FBWebViewClient,onPageFinished,HOOK_APPEND,L2L3L4_AdKill.smali,Inject DOM removal JS after each page load,v7.0,ACTIVE
L3,com.facebook.http.FBRequestInterceptor,intercept,HOOK_REPLACE,L2L3L4_AdKill.smali,OkHttp interceptor for sponsored/adview network calls,v7.0,ACTIVE
L4,com.facebook.graphservice.GraphResponseParser,parseResponse,HOOK_WRAP,L2L3L4_AdKill.smali,Filter GraphQL responses for sponsored story nodes,v7.0,ACTIVE
L5,com.facebook.browser.FBBrowserActivity,loadUrl,HOOK_WRAP,L5_UrlGuard.smali,Strip fbclid utm_ ad_id tracking params from all URLs,v7.0,ACTIVE
L5,com.facebook.katana.activity.FbMainTabActivity,onNewIntent,HOOK_APPEND,L5_UrlGuard.smali,Sanitize deep-link intents containing tracking params,v7.0,ACTIVE
L6,com.facebook.network.FBOkHttpClient,newCall,HOOK_REPLACE,L6_NetworkGuard.smali,Block calls to known ad/tracking hostnames at HTTP client level,v7.0,ACTIVE
L6,com.facebook.network.FBSSLPinning,checkServerTrusted,HOOK_REPLACE,L6_NetworkGuard.smali,Bypass SSL certificate pinning for proxy analysis,v7.0,ACTIVE
L7,com.facebook.katana.application.KatanaApplication,onCreate,HOOK_APPEND,L7_Watchdog.smali,Start watchdog thread after application init,v8.0,ACTIVE
L7,com.facebook.katana.activity.FbMainTabActivity,onResume,HOOK_APPEND,L7_Watchdog.smali,Re-verify all hook layers on activity resume,v8.0,ACTIVE
L8,com.facebook.video.player.FBVideoPlayer,setDataSource,HOOK_WRAP,L8_VideoDownloader.smali,Capture video stream URLs before playback,v8.0,ACTIVE
L8,com.facebook.webview.FBWebViewClient,shouldOverrideUrlLoading,HOOK_APPEND,L8_VideoDownloader.smali,Detect video redirect URLs and offer download,v8.0,ACTIVE
L9,com.facebook.feed.FeedStoryRecyclerAdapter,onBindViewHolder,HOOK_WRAP,L9_FeedFilter.smali,Intercept feed item binding to remove sponsored story,v8.0,ACTIVE
L9,com.facebook.stories.StoryAdapter,getItem,HOOK_WRAP,L9_FeedFilter.smali,Filter sponsored story items from Stories bar,v8.0,ACTIVE
L10,com.facebook.katana.activity.FbMainTabActivity,setContentView,HOOK_APPEND,L10_UiExtras.smali,Inject dark mode CSS and UI customization on activity start,v8.0,ACTIVE
L10,com.facebook.browser.FBBrowserActivity,onCreate,HOOK_APPEND,L10_UiExtras.smali,Apply UI extras to in-app browser,v8.0,ACTIVE
L11,com.facebook.updates.AppUpdateChecker,checkForUpdate,HOOK_REPLACE,L11_UpdateBlocker.smali,Return spoofed latest-version response to suppress update nag,v8.0,ACTIVE
L11,com.facebook.updates.PlayStoreUpdateDialog,show,HOOK_REPLACE,L11_UpdateBlocker.smali,Suppress Play Store update dialog entirely,v8.0,ACTIVE
L12,com.facebook.katana.activity.FbMainTabActivity,onOptionsItemSelected,HOOK_APPEND,L12_CookieExporter.smali,Add cookie export menu item to action bar overflow,v9.0,ACTIVE
L12,com.facebook.webview.FBWebViewClient,onPageFinished,HOOK_APPEND,L12_CookieExporter.smali,Attach CookieJsInterface to WebView on page load,v9.0,ACTIVE
L13,com.facebook.camera.FBCameraManager,open,HOOK_WRAP,L13_VirtualCamera.smali,Intercept camera open to optionally inject virtual camera surface,v8.0,ACTIVE
L13,com.facebook.camera.FBCameraPreview,startPreview,HOOK_REPLACE,L13_VirtualCamera.smali,Replace live preview with MediaPlayer virtual stream,v8.0,ACTIVE
ModInit,com.facebook.katana.application.KatanaApplication,onCreate,MANIFEST_REPLACE,ModApplication.smali,Replace KatanaApplication with ModApplication in AndroidManifest,v8.0,ACTIVE
ModInit,com.facebook.webview.FBWebViewFactory,createWebViewClient,HOOK_REPLACE,ModInit.smali,Return ModInit$WebViewClientHook instead of default client,v8.0,ACTIVE
